;;;0.2;0.2;0.2;0.2;0.2
44;7.16;Slovakia;9.58;6.79;5.56;5.63;8.24
45;7.08;Panama;9.58;6.79;6.11;5;7.94
46;7.04;Trinidad and Tobago;9.58;7.14;5.56;5;7.94
47;7.03;Bulgaria;9.17;6.43;7.22;4.38;7.94
48;6.96;Argentina;9.17;5;6.11;6.88;7.65
49;6.86;Brazil;9.58;5.36;6.11;5;8.24
50;6.76;Suriname;9.17;6.43;5.56;5;7.65
51;6.71;Philippines;9.17;5.71;7.22;4.38;7.06
52;6.69;Ghana;8.33;5.71;6.67;6.25;6.47
53;6.67;Poland;9.17;6.07;6.11;4.38;7.65
53;6.67;Colombia;9.17;6.79;4.44;5;7.94
55;6.66;Dominican Republic;9.17;5.36;6.11;5.63;7.06
56;6.64;Lesotho;9.17;5;6.67;5.63;6.76
56;6.64;Hungary;8.75;6.07;4.44;6.88;7.06
58;6.63;Croatia;9.17;6.07;5.56;5;7.35
59;6.54;Malaysia;6.92;7.86;6.11;6.25;5.59
60;6.5;Mongolia;9.17;5.71;5.56;5;7.06
61;6.49;Peru;9.17;5.36;5.56;5;7.35
62;6.48;Sri Lanka;7.83;7.14;5;6.25;6.18
63;6.46;Guyana;8.75;5.71;6.11;4.38;7.35
64;6.44;Romania;9.17;5.71;5;4.38;7.94
65;6.43;El Salvador;9.17;5.36;5.56;5;7.06
66;6.41;Serbia;8.25;5.36;6.11;5;7.35
66;6.41;Mexico;7.83;6.43;7.22;4.38;6.18
68;6.39;Indonesia;6.92;7.14;6.67;5.63;5.59
69;6.32;Tunisia;6;5.71;7.78;6.25;5.88
69;6.32;Singapore;4.33;7.86;6.11;6.25;7.06
71;6.31;Hong Kong;3.92;6.07;5.56;7.5;8.53
71;6.31;Namibia;5.67;5.36;6.67;5.63;8.24
71;6.31;Paraguay;8.75;6.07;5;4.38;7.35
74;6.15;Senegal;7.5;6.07;4.44;6.25;6.47
75;6.03;Papua New Guinea;6.92;6.07;3.89;5.63;7.65
76;6.02;Ecuador;8.75;4.64;5.56;4.38;6.76
77;5.98;Albania;7;4.71;5.56;5;7.65
78;5.94;Moldova;7.5;4.64;6.11;4.38;7.06
79;5.93;Georgia;8.67;4.29;6.11;5;5.59
80;5.86;Guatemala;7.92;5.71;3.89;5;6.76
81;5.85;Fiji;6.58;5.36;6.11;5.63;5.59
82;5.72;Honduras;8.25;5.36;4.44;4.38;6.18
83;5.69;Ukraine;6.17;3.21;6.67;6.25;6.18
83;5.69;Montenegro;6.08;5.36;5.56;4.38;7.06
85;5.68;Zambia;6.17;5;3.89;6.88;6.47
86;5.64;Mali;7.42;3.93;4.44;6.25;6.18
87;5.61;Benin;6.5;5.36;5;5.63;5.59
88;5.57;Macedonia;6.5;5;5.56;3.75;7.06
89;5.49;Bolivia;7;4.64;5;3.75;7.06
89;5.49;Malawi;6.58;4.29;4.44;6.25;5.88
91;5.47;Tanzania;7;5;5;5.63;4.71
92;5.43;Bangladesh;7.42;5.07;5;4.38;5.29
93;5.23;Liberia;7.42;2.57;5.56;5;5.59
94;5.18;Nepal;4.33;5.36;5;5.63;5.59
95;5.11;Kenya;3.5;5.36;6.67;5.63;4.41
95;5.11;Kyrgyz Republic;6.58;2.93;6.67;4.38;5
95;5.11;Madagascar;6.08;3.57;5.56;5.63;4.71
98;5.09;Uganda;5.25;3.57;3.89;6.88;5.88
99;5.08;Bhutan;8.33;6.07;2.78;4.38;3.82
100;4.88;Turkey;5.33;6.07;5;5.63;2.35
101;4.87;Morocco;5.25;4.64;4.44;5.63;4.41
101;4.87;Bosnia and Hercegovina;6.5;2.93;5;3.75;6.18
103;4.75;Burkina Faso;4.42;4.29;4.44;5.63;5
104;4.72;Lebanon;3.5;2.57;7.22;5.63;4.71
105;4.66;Sierra Leone;6.58;1.86;3.33;6.25;5.29
105;4.66;Nicaragua;3.42;3.29;3.89;5.63;7.06
107;4.63;Thailand;3;4.29;5;5;5.88
108;4.46;Palestine;3.83;2.5;7.78;4.38;3.82
109;4.44;Nigeria;6.08;4.64;3.33;3.75;4.41
110;4.26;Pakistan;6.5;5.36;2.22;2.5;4.71
111;4.11;Armenia;5.25;2.86;5;1.88;5.59
112;4.09;Iraq;4.33;0.07;7.22;5;3.82
113;4.06;Gambia;4.48;3.93;3.33;5.63;2.94
114;4.03;Haiti;5.17;2.21;2.22;4.38;6.18
115;4.02;Mozambique;4.42;2.14;5;5;3.53
116;3.93;Côte d’Ivoire;4.42;2.14;3.33;5.63;4.12
117;3.87;Jordan;3.58;4.29;3.89;4.38;3.24
117;3.87;Venezuela;2.17;2.86;6.11;4.38;3.82
119;3.85;Kuwait;3.17;4.29;3.89;4.38;3.53
120;3.83;Myanmar;3.67;3.93;3.89;5.63;2.06
121;3.82;Mauritania;3;3.57;5;3.13;4.41
122;3.76;Niger;5.25;1.14;3.33;4.38;4.71
123;3.71;Comoros;4.33;2.21;4.44;3.75;3.82
124;3.63;Cambodia;1.33;5.71;2.22;5.63;3.24
125;3.62;Angola;1.75;2.86;5.56;5;2.94
126;3.61;Gabon;2.58;2.21;4.44;5;3.82
126;3.61;Cameroon;4;2.86;3.89;4.38;2.94
128;3.56;Algeria;2.58;2.21;3.89;5;4.12
129;3.42;Ethiopia;0;3.57;5.56;5.63;2.35
130;3.36;Egypt;3.58;3.21;3.33;3.75;2.94
131;3.31;Cuba;1.33;4.29;3.89;4.38;2.65
132;3.25;Congo (Brazzaville);3.17;2.5;3.89;3.75;2.94
133;3.19;Qatar;0;4.29;2.22;5.63;3.82
133;3.19;Rwanda;0.83;5;2.78;4.38;2.94
135;3.17;Russia;2.17;1.79;5;2.5;4.41
136;3.16;Zimbabwe;0.5;2;4.44;5.63;3.24
137;3.14;Guinea;3.5;0.43;4.44;4.38;2.94
138;3.13;Belarus;0.92;2.86;3.89;5.63;2.35
139;3.1;China;0;5;2.78;6.25;1.47
140;3.08;Vietnam;0;3.21;3.89;5.63;2.65
141;3.06;Kazakhstan;0.5;2.14;4.44;4.38;3.82
142;3.05;Togo;3.17;0.79;2.78;5;3.53
143;3.04;Oman;0;3.93;2.78;4.38;4.12
144;3.03;Swaziland;0.92;2.86;2.22;5.63;3.53
145;2.76;Djibouti;0.42;1.79;3.33;5.63;2.65
146;2.71;Bahrain;0.83;3.21;2.78;4.38;2.35
147;2.69;United Arab Emirates;0;3.57;2.22;5;2.65
148;2.65;Azerbaijan;0.5;2.14;3.33;3.75;3.53
149;2.55;Afghanistan;2.5;1.14;2.78;2.5;3.82
150;2.45;Iran;0;3.21;4.44;3.13;1.47
151;2.37;Eritrea;0;2.14;1.67;6.88;1.18
151;2.37;Laos;0.83;2.86;1.67;5;1.47
153;2.33;Burundi;0;0.43;3.89;5;2.35
154;2.32;Libya;1;0.36;1.67;5.63;2.94
155;2.15;Sudan;0;1.79;2.78;5;1.18
156;2.07;Yemen;0;0;4.44;5;0.88
157;1.98;Guinea-Bissau;1.67;0;2.78;3.13;2.35
158;1.95;Uzbekistan;0.08;1.86;2.22;5;0.59
159;1.93;Saudi Arabia;0;2.86;2.22;3.13;1.47
159;1.93;Tajikistan;0.08;0.79;1.67;6.25;0.88
161;1.81;Equatorial Guinea;0;0.43;2.78;4.38;1.47
162;1.72;Turkmenistan;0;0.79;2.22;5;0.59
163;1.61;Democratic Republic of Congo;0.5;0.71;2.22;3.75;0.88
164;1.52;Central African Republic;2.25;0;1.11;1.88;2.35
165;1.5;Chad;0;0;1.11;3.75;2.65
166;1.43;Syria;0;0;2.78;4.38;0
167;1.08;North Korea;0;2.5;1.67;1.25;0
